FE_13770762.txt	Cecil R. Slaughter	Cecil R. Slaughter	Cecil R. Slaughter, Ph.D
FE_13770763.txt	D. B. Ward, S. S. Ward	D. B. & S. S. Ward	
FE_13770815.txt		S. W. Leonard	S. W. Leonard 
FE_13770819.txt	Peggy Ann Winter	Peggy Ann Winter	Peggy Ann Winter
FE_13770824.txt	Thomas J. Hudson	Thomas J. Hudson	Thomas J. Hudson
FE_13770833.txt	Keith Staton 	Keeth Staton	Keeth Staton
FE_13770848.txt	David Wiggins	David Wiggins	David Wiggins
FE_13770881.txt	M.I. Cousens	M I. Cousens	M. I. Cousens
FE_13770885.txt	James R Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13770917.txt	Robert K. Hood, Jr. 	Robert K. Hood, Jr. 	Robert K. Hood, Jr.
FE_13770919.txt		Robert K. Hood Jr.	Robert K. Hood, Jr.
FE_13770924.txt	Robert K. Hood, Jr.	Robert K. Hood, Jr.	Robert K. Hoo, Jr.
FE_13770925.txt	Robert K. Hood, Jr. 	Robert K Hood, Jr.	Robert K. Hood, Jr.
FE_13770926.txt	Robert K. Hood, Jr.	Robert K. Hood, Jr.	Robert K. Hood, Jr.
FE_13770932.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13770963.txt	James R. Burkhalter		James R. Brukhalter
FE_13770966.txt	S.W. Leonard & Wilson Baker	S. W. Leonard and Wilson Baker	S.W. Leonard & Wilson Baker
FE_13770994.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771061.txt		M.I. Cousens, F.H. Booker	M. I. Cousens, F. H. Booker
FE_13771127.txt	James R. Burkhalter	James E. Burkhalter	James R. Burkhalter
FE_13771149.txt	J. R. Burkhalter with R. L leonard	J.R. Burkhalter with R.L. Leonard	J. R. Burkhalter, R. L. Leonard
FE_13771150.txt	burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771160.txt	James R Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771178.txt	Mark Scheller, D. Grimm	Mark Scheller	Mark Scheller, D. Grimm
FE_13771236.txt	Thomas J. Hudson	Thomas J. Hudson	Thomas J. Hudson
FE_13771237.txt	Thomas J. Hudson	Thomas Hudson	Thomas J. Hudson
FE_13771347.txt		James R. Buckhalter	James R. Burkhalter
FE_13771349.txt	J. R. Burkhalter with W. F. Robinson and E. H. Robinson		J.R. Burkhalter, W.F. Robinson, and E.H. Robinson
FE_13771405.txt		nurkhalter	James R. Burkhalter
FE_13771411.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771453.txt			
FE_13771455.txt	F. H. Booker	F. H. Booker	F. H. Booker
