filename	id_v1	sec1	id_v2	sec2	id_v3	sec3
NY_00020326.jpg	301	32	310	40	318	141
NY_00040685.jpg	302	74	316	26	317	19
NY_00040919.jpg	301	26	307	19	313	38
NY_00198945.jpg	301	48	318	136	48	47
NY_00198993.jpg	306	62	307	116	318	110
NY_00413475.jpg	301	27	309	22	318	52
NY_00413589.jpg	301	35	301	35	306	39
NY_00499439.jpg	306	32	314	106	318	54
NY_00617450.jpg	301	20	318	38	48	28
NY_00641566.jpg	301	52	303	120	311	133
NY_00754868.jpg	307	29	317	25	318	40
NY_00754872.jpg	301	23	303	43	307	23
NY_00819601.jpg	305	64	306	78	317	40
NY_01334326.jpg	315	38	317	17	318	40
NY_01334334.jpg	307	19	317	38	318	93
NY_01334374.jpg	301	31	302	31	315	71
NY_01334391.jpg	302	23	306	44	307	31
NY_01334433.jpg	303	34	318	44	48	25
NY_01334438.jpg	303	38	306	42	307	18
NY_01334464.jpg	301	24	318	73	48	15
NY_01334493.jpg	303	47	306	69	310	39
NY_01334508.jpg	301	22	306	30	307	20
NY_01497987.jpg	302	143	306	61	308	125
NY_01498039.jpg	306	46	309	18	318	84
NY_01498043.jpg	306	26	318	135	48	11
NY_01498065.jpg	301	24	307	23	311	73
NY_01498090.jpg	303	42	304	34	306	65
NY_01498103.jpg	311	86	318	25	48	47
NY_01498113.jpg	318	148	48	27	67	54
NY_01498139.jpg	318	64	48	17	67	39
NY_01498155.jpg	301	46	306	30	318	48
NY_01498166.jpg	318	58	48	25	67	9
NY_01498191.jpg	301	27	306	44	310	31

