filename	id_v1	event_date1	id_v2	event_date2	id_v3	event_date3	id_v4	event_date4	id_v5	event_date5	id_v6	event_date6
EMEC609488_Cerceris_compacta.jpg	104	July 11, 1951	105	11 july 1951	107	11 July 1951	109	11, July 1951	41	11 July 1951	52	11 July 1951
EMEC609504_Cerceris_compacta.jpg	104	July 11, 1951	105	11 july 1951	107	11 July 1951	110	11 July 1951	41	11 July 1951	52	11 July 1951
EMEC609515_Cerceris_compacta.jpg	104	July 17, 1932	105	7-17-32	107	7-17-32	115	July 17, 1932	41	7-17-32	52	7-17-32
EMEC609523_Cerceris_compacta.jpg	102	VII.4.54	104	July 4, 1954	105	VII-4-54	107	July 4. 1954	41	VII-4-54	52	VII-4-54
EMEC609529_Cerceris_compacta.jpg	104	June 28, 1953	105	VI-28-53	107	VI-28-53	113	VI-28-53	41	VI-28-53	52	VI-28-53
EMEC609543_Cerceris_compacta.jpg	104	July 8, 1952	105	VII-8-52	105	VII-8-52	107	July 8, 1952	41	VII-8-52	52	VII-8-52
EMEC609600_Cerceris_compacta.jpg	104	Sept. 4, 1978	105	4 April 1978	107	4 September 1978	110	4-IX-1978	41	4-IX-1978	52	4-IX-1978
EMEC609601_Cerceris_compacta.jpg	104	June 25, 1975	104	June 25, 1975	105	25 June 1975	106	June 25 1975	41	June 25, 1975	52	June 25, 1975
EMEC609612_Cerceris_compacta.jpg	104	July 18-22, 1951	104	July 18-22. 1951	105	VII-18-22-51	107	July 18-22 1951	41	VII-18-22-51	52	VII-18-22-51
EMEC609623_Cerceris_compacta.jpg	104	July 18, 1951	105	VII-22-51	107	July 18-22 1951	110	VII-18-22-51	41	VII-18-22-51	52	VII-18-22-51
EMEC609639_Cerceris_compar_compar.jpg	101	07/01/1934	104	July 1, 1934	105	1 july 1934	108	JULY 1,1934	41	July 1, 1934	52	July 1, 1934
EMEC609675_Cerceris_conifrons.jpg	104	Aug. 6, 1950	105	VIII-6-50	107	August 6, 1950	110	VIII-6-50	41	VIII-6-50	52	VIII-6-50
EMEC609686_Cerceris_conifrons.jpg	103	26 August 1977	104	Aug. 26, 1977	105	26-VIII-1977	105	26-VIII-1977	41	26-VIII-1977	52	26-VIII-1977
EMEC609696_Cerceris_conifrons.jpg	104	Aug. 10, 1951	105	10 aug 51	105	10 aug 51	107	10 August 1951	41	10 Aug. '51	52	10 Aug. '51
EMEC609705_Cerceris_conifrons.jpg	104	June 28, 1966	105	28 June 1966	107	June-28-66	114	VI-28-66	41	VI-28-66	52	VI-28-66
EMEC609711_Cerceris_convergens.jpg	104	June 2-5, 1951	105	2 May 1951	107	June 2-5 1951	110	VI-2-5-1951	41	VI-2-5-1951	52	VI-2-5-1951
EMEC609719_Cerceris_convergens.jpg	104	Jan. 1925	105	7 1925	107	1925	110	7. 1925	41	7 1925	52	1925
EMEC609722_Cerceris_convergens.jpg	104	July 16, 1950	105	VII-16-50	107	July-16-50	111	July 16, 1950	41	VII-16-50	52	VII-16-50
EMEC609740_Cerceris_convergens.jpg	104	Apr. 26, 1952	107	April 26, 1952	110	IV-26-52	118	26-IV-1952	41	IV-26-52	52	IV-26-52
EMEC609764_Cerceris_convergens.jpg	104	July 2, 1953	105	VII-2-53	107	July-2-53	108	VII-2-53	41	VII-2-53	52	VII-2-53
EMEC609785_Cerceris_convergens.jpg	102	61	104	1961?	105	8 August 1959	107	8 August 1959	41	8-8-59	52	'61
EMEC609803_Cerceris_convergens.jpg	104	Sept. 1, 1959	105	IX-1-1959	107	September 1, 1959	110	IX-1-1959	41	IX-1-1959	52	IX-1-1959
EMEC609826_Cerceris_convergens.jpg	102	57	103		104	Apr. 27, 1954	105	IV-27-54	41	IV-27-54	52	IV-27-54
EMEC609828_Cerceris_convergens.jpg	104	May 3, 1956	107	May 3, 1956	107	May 3 1956	108	1956	41	V-3-1956	52	V-3-1956
EMEC609879_Cerceris_convergens.jpg	104	Sept. 15, 1974	105	IX-15-1974	107	September 15, 1974	110	IX-15-1974	41	IX-15-1974	52	IX-15-1974
EMEC609880_Cerceris_convergens.jpg	104	Sept. 4, 1978	105	4-IX-1978	107	4-IX-1978	108	4-IX-1978	41	4-IX-1978	52	4-IX-1978
EMEC609882_Cerceris_convergens.jpg	103		104	Aug. 20, 1976	105	VIII-20-76	107	August 20 1976	41	VIII-20-76	52	VIII-20-76
EMEC609885_Cerceris_convergens.jpg	104	Oct. 28, 1956	105	X-28-56	107	October 28, 1956	110	X-28-56	41	X-28-56	52	X-28-56
EMEC609900_Stigmus_sp.jpg	101	5-22-1980	104	May 22, 1980	105	V-22-1980	107	V-22-1980	41	V-22-1980	52	V-22-1980
EMEC609903_Stigmus_sp.jpg	104	Aug. 2, 1973	104	Aug. 2, 1973	105	VIII-2-73	107	August-2-1973	41	VIII-2-73	52	VIII-2-73
EMEC609926_Stigmus_sp.jpg	104	July 12, 1970	105	12 July 1970	106	1970	107	July 12, 1970	41	VII-12-1970	52	VII-12-1970
EMEC609939_Stigmus_sp.jpg	104	Sept. 14, 1992	105	Sept 14-16, 1992	107	September 14-16 1992	121	Sept 14-16, 1992	41	Sept 14 16, 1992	52	Sept 14 16, 1992
EMEC609987_Aphilanthops_foxi.jpg	104	June 29, 1952	105	IV-29-52	107	IV-29-52	110	IV-29-52	41	IV-29-52	52	IV-29-52
EMEC609997_Aphilanthops_foxi.jpg	104	April 30, 1949	105	IV-30-49	107	April 30, 1949	108	30.04.1949	41	IV-30-49	52	IV-30-49
NY01075765_lg.jpg	102	Feb 1898	104	Feb. 1898	105	february 1898	107	February 1898	41	Feb 1898	52	Feb 1898
NY01075766_lg.jpg	104	Nov. 5, 1976	105	5 november 1976	107	5 November 1976	110	5 November 1976	41	5 November 1976	52	5 November 1976
NY01075768_lg.jpg	104	May 6, 1999	105	6 may 1999	107	6 May 1999	110	6 May 1999	41	6 May 1999	52	6 May 1999
NY01075775_lg.jpg	102	10 May 1991	103	10 May 1991	104	May 10, 1991	105	10 may 1991	41	10 May 1991	52	10 May 1991
