william r stimson	2
s w leonard	7
loran c anderson	21
mary w diddell	1
r k godfrey	9
james r burkhalter	37
cecil r slaughter	4
gil nelson with keith bradley and w wilson baker	1
r dale thomas paul marx	2
a gholson jr 	2
loran c andersons	1
m darst with h light and lori peed	2
r kral	2
c jackson	1
james p gillespie r kral r k godfrey	1
k m meyer a townesmith	1
james p gillespie	1
sidney mcdaniel	2
m i cousens	6
	2
debra grimm	1
f h booker	2
frances booker	1
thomas j hudson 	1
james r burkhalter and frances booker 	1
e o neill	1
james r burkhalter 	2
frankie c johns	1
r and j daubenmire	1
john t mickel	1
gil nelson keith bradley	1
c f dowling	1
edward p st john	1
cecil r slaughter marc minno	1
jean wooten	2
west and arnold	1
j h scudder	1
k craddock burks	1
michael manna	1
pamela simpkins	1
james d ray jr olga lakela jackie patman	1
mark a garland gary knight	1
herb wagner	1
buswell	1
s f blake	1
gil nelson with angus gholson	1
a m laessle	1
o lakela	1
robert k hood jr 	5
thomas j hudson	5
elaine luna	1
mi cousens	1
david wiggins	2
frances joyner	1
terry burch	1
robert k hood	1
john duncan	1
peggy ann winter	1
keeth staton	1
s w leonard wilson baker	1
j r burkhalter with r l leonard	1
mark scheller d grimm	1
