filename	id_v1	value1	id_v2	value2	id_v3	value3
EMEC609488_Cerceris_compacta.jpg	37	P.D. Hurd	75	P. D. Hurd	80	P. D. Hurd
EMEC609504_Cerceris_compacta.jpg	37	P.D. Hurd	75	P. D. Hurd	80	P. D. Hurd
EMEC609515_Cerceris_compacta.jpg	37		75		80	
EMEC609523_Cerceris_compacta.jpg	37	J.W. MacSwain	75	J. W. MacSwain		
EMEC609529_Cerceris_compacta.jpg	75	Snilhing	80	H.A. Scullen		
EMEC609543_Cerceris_compacta.jpg	37	E.E. Gilbert, C.D. MacNeil	75	E. E. Gilbert, C. D. MacNeil	80	E. E. Gilbert, C. D. MacNeil
EMEC609600_Cerceris_compacta.jpg	37	R.E. Coville	75	R. E. Coville		
EMEC609601_Cerceris_compacta.jpg	37	J.R. Powers	75	J. R. Powers	80	J. R. Powers
EMEC609612_Cerceris_compacta.jpg	37	P.D. Hurd	75	P. D. Hurd	80	P. D. Hurd
EMEC609623_Cerceris_compacta.jpg	37	P.D. Hurd	75	P. D. Hurd		
EMEC609639_Cerceris_compar_compar.jpg	37	Krombein	75	Krombein		
EMEC609675_Cerceris_conifrons.jpg	37	J.W. MacSwain	75	J. W. MacSwain	80	J. W. MacSwain
EMEC609686_Cerceris_conifrons.jpg	37	R.E. Coville	75	R. E. Coville		
EMEC609696_Cerceris_conifrons.jpg	37	P.D. Hurd	75	P. D. Hurd	80	P. D. Hurd
EMEC609705_Cerceris_conifrons.jpg	37	J.M. Davidson, M.A. Cazier	75	J. M. Davidson, M. A. Cazier		
EMEC609711_Cerceris_convergens.jpg	37	P.D. Hurd	75	P. D. Hurd		
EMEC609719_Cerceris_convergens.jpg	37		75	Davis, Cal		
EMEC609722_Cerceris_convergens.jpg	37	J.W. MacSwain	75	J. W. MacSwain	80	J. W. MacSwain
EMEC609740_Cerceris_convergens.jpg	37	J.G. Rozen	75	J. G. Rozen		
EMEC609764_Cerceris_convergens.jpg	37	J.W. MacSwain	75	J. W. MacSwain	80	J. W. MacSwain
EMEC609785_Cerceris_convergens.jpg	37		75	E. G. Linsley		
EMEC609803_Cerceris_convergens.jpg	37	O.C. LaFrance	75	O. C. La France	80	O.C. La France
EMEC609826_Cerceris_convergens.jpg	37	M. Wasbauer	75	M. Wasbauer	80	M. Wasbauer
EMEC609828_Cerceris_convergens.jpg	37	P.D. Hurd	75	P. D. Hurd		
EMEC609879_Cerceris_convergens.jpg	37		75	PD Hurd, AE & MM Michelbacher	80	
EMEC609880_Cerceris_convergens.jpg	37	R.E. Coville	75	R. E. Coville		
EMEC609882_Cerceris_convergens.jpg	37	P. Rude	75	P. Rude	80	
EMEC609885_Cerceris_convergens.jpg	37	J.W. MacSwain	75	J. W. MacSwain	80	J. W. MacSwain
EMEC609900_Stigmus_sp.jpg	75	J. R. Powers	80	Moorhead, Minn, Clay County		
EMEC609903_Stigmus_sp.jpg	37		75	S. Szerlip, R. Coville, J. Powell	80	
EMEC609926_Stigmus_sp.jpg	37		75	E. Schlinger	80	
EMEC609939_Stigmus_sp.jpg	37	W. Middlekauff	75	W. Middlekauff	80	W. Middlekauff
EMEC609987_Aphilanthops_foxi.jpg	37	P.D. Hurd	75	P. D. Hurd	80	P.D. Hurd
EMEC609997_Aphilanthops_foxi.jpg	75	E. G. Linsley, JW MacSwain, R. F. Smith	80	E. G. Linsley. JW MacSwain, R.F. Smith		
NY01075765_lg.jpg	37	Roland Thaxter	75	Roland Thaxter	80	Roland Thaxter
NY01075766_lg.jpg	37	R.T. Wilce	75	R. T. Wilce		
NY01075768_lg.jpg	37	William R. Buck	75	William R. Buck	80	
NY01075775_lg.jpg	37	W.A. Weber	75	W. A. Weber	80	
NY01075790_lg.jpg	37	Shirley C. Tucker	75	Shirley C. Tucker	80	Shirley c. Tucker
NY01075792_lg.jpg	37	Clifford M. Wetmore	75	Clifford M. Wetmore		
NY01075806_lg.jpg	37		75	G. T. Johnson s.n.	80	
NY01075818_lg.jpg	75	William R. Buck	80	William R. Buck		
NY01075822_lg.jpg	37	William R. Buck	75	William R. Buck		
NY01075827_lg.jpg	37	Richard C. Harris	75	Richard C. Harris	80	Richard C. Harris
NY01075831_lg.jpg	37	Richard C. Harris	75	Richard C. Harris		
NY01075837_lg.jpg	75	Richard C. Harris	80	Richard C. Harris		
NY_00020326.jpg	37	T.A. Zanoni, D. Atha & M. Vives	75	T. A. Zanoni, D. Atha, M. Vives	80	T.A. Zamimi, D. Atha & M. Vives
NY_00040685.jpg	37	Daniel Atha with Thomas A. Zanoni, Jose Cedeno	75	Daniel Atha with Thomas A. Zanoni, Jose Cedeno		
NY_00040919.jpg	37	James Higgins with Prosper Paris	75	James Higgins with Prosper Paris		
NY_00198945.jpg	37	Stewardson Brown, N.L. Britton, E.J. Wortley	75	Stewardson Brown, N. L. Britton, E. J. Wortley	80	STEWARDSON BROWN, N. L. BRITTON, N. J. WORTLEY
NY_00198993.jpg	37	J.G. Jack	75	J. G. Jack	80	J.G. Jack
NY_00413475.jpg	75	M. Mejia, T. Zanoni	80	M. Mejias, T. Zanoni		
NY_00413589.jpg	37	Steven R. Hill	75	Steven R. Hill		
NY_00499439.jpg	37	Stewardson Brown, N.L. Britton	75	Stewardson Brown, N. L. Britton	80	STEWARDSON BROWN, N. L. BRITTON
NY_00617450.jpg	37	R. A. & E. S. Howard	75	R. A. & E. S. Howard	80	R. A. & E. S. Howard
NY_00641566.jpg	37	Thomas R. Soderstrom	75	Thomas R. Soderstrom	80	Thomas R. Soderstrom
NY_00754868.jpg	37		75	G. J. Breckon	80	
NY_00754872.jpg	37	Alain H., Perfa Liogier, N.J. Melo	75	Alain H. & Perfa Liogier & N. J. Melo.	80	Alain H. & Perfa, Liogier & N.J. Melo.
NY_00819601.jpg	37	J.A. Shafer	75	J. A. Shafer	80	J. A. SHAFER
NY_01334326.jpg	37	N.L. Britton, L.J.K. Brace	75	N. L. Britton, L. J. K. Brace	80	N. L. BRITTON, L. J. K. BRACE
NY_01334334.jpg	37	T. Zanoni	75	T. Zanoni		
NY_01334374.jpg	75	George R. Cooley	80	J. William & B. L. Tunner		
NY_01334391.jpg	37	Bro. Alain	75	Bro. Alain	80	J. William & B. L. Tunner
NY_01334433.jpg	37	C. Wright	75	C. Wright	80	C. WRIGHT
NY_01334438.jpg	37	R. Garcia, F. Jimenez	75	R. Garcia, F. Jimenez		
NY_01334464.jpg	37	Alfred. E. Ricksecker	75	Alfred E. Ricksecker	80	ALFRED E. RICKSECKER.
NY_01334493.jpg	37	R. Lowden	75	Col. R. Lowden		
NY_01334508.jpg	37	Brother Alain Liogier	75	Brother Alain Liogier		
NY_01497987.jpg	37		75	Bro. Leon	80	
