r k godfrey	4
david hanf	1
a g shuey	1
loran c anderson	7
charles c taylor	1
david lee hanon	1
james e poppleton	1
june becker and deborah howd	1
k craddock burks	2
robert k godfrey angus gholson wilson baker	1
a f clewell	1
heins schadow	1
debbie chapman	1
james r burkhalter	6
james r burkhalter and oliver freeman	1
janet s bunch	1
weber hawkins	2
hugh o neill	1
g f weber	2
watson murrill	1
a n tissot e west	1
erdman west	3
george r cooley	1
e s ford	2
a p garber m d 	2
wm g atwater	2
d b s s ward	2
w g d arcy	5
john beckner	1
robert l and john d lazor	1
j b nelson with w m whitten	1
bruce joann hansen	1
tom maccubbin	1
steve l orzell and edwin l bridges	1
h h hume e west	1
lillian e arnold	1
george avery	1
s c hood	4
w c brumbach	1
david w hall	1
george n avery	1
paul m cassen	1
r r smith	3
l d ober	1
a h curtiss	1
l baltzell	4
burger west	1
j k small	1
j b mcfarlin	3
elmer c prichard	1
d b ward	3
alexandra feliciano	1
a cuthbert	1
fred walker	1
lillian arnold	1
peter w alcorn	1
bessie kirk	1
e west	1
allen g shuey	1
