william r stimson	1
s w leonard	7
loran c anderson	16
mary w diddell	1
r k godfrey	8
james r burkhalter	30
cecil r slaughter	1
gil nelson with keith bradley and w wilson baker	1
r dale thomas paul marx	1
a gholson jr 	1
loran c andersons	1
m darst with h light and lori peed	1
r kral	1
c jackson	1
james p gillespie r kral r k godfrey	1
k m meyer a townesmith	1
james p gillespie	1
sidney mcdaniel	1
m i cousens	3
	1
debra grimm	1
f h booker	1
frances booker	1
thomas j hudson 	1
james r burkhalter and frances booker 	1
e o neill	1
james r burkhalter 	2
frankie c johns	1
r and j daubenmire	1
