r k godfrey	4
david hanf	1
a g shuey	1
loran c anderson	11
charles c taylor	1
david lee hanon	1
james e poppleton	1
june becker and deborah howd	1
k craddock burks	2
robert k godfrey angus gholson wilson baker	1
a f clewell	1
heins schadow	1
debbie chapman	1
james r burkhalter	28
james r burkhalter and oliver freeman	1
janet s bunch	1
weber hawkins	2
hugh o neill	1
g f weber	2
watson murrill	1
a n tissot e west	1
erdman west	3
george r cooley	1
e s ford	2
a p garber m d 	2
wm g atwater	4
d b s s ward	2
w g d arcy	9
john beckner	1
robert l and john d lazor	1
j b nelson with w m whitten	1
bruce joann hansen	1
tom maccubbin	1
steve l orzell and edwin l bridges	1
h h hume e west	1
lillian e arnold	1
george avery	1
s c hood	5
w c brumbach	1
david w hall	1
george n avery	1
paul m cassen	1
r r smith	5
l d ober	1
a h curtiss	2
l baltzell	8
burger west	1
j k small	1
j b mcfarlin	3
elmer c prichard	1
d b ward	3
alexandra feliciano	1
a cuthbert	1
fred walker	1
lillian arnold	1
peter w alcorn	1
bessie kirk	1
e west	1
allen g shuey	1
cecil r slaughter ph d	1
melanie darst a k gholson	1
megan selva	1
john birkheimer	1
amir uddin	1
shuey	8
sharon carter	2
poppleton pohlad	1
lamar bass	1
rexford and jean daubenmire	1
c j seymour	7
paul o schallert	10
alice m bard	1
william smith	1
r j daubenmire	2
	10
jessica lee pirkey	3
courtney knickerbocker	1
paul lessard	1
sam hopkins	3
samuel b hopkins jr 	7
ellen m kirkland	1
barbara kohler	5
jennifer kinney	1
larry w johnson	1
bruce mcdonell	1
jason seyfert	2
chelsea dowell	1
j e poppleton	1
claudia bielby	1
j h willson	2
pat fred harden sam hopkins	1
chelsea neff	1
amethyst strickland	1
s r stafford	1
dale p todd	1
joan candalino	1
lydia knapp	2
earl bellemore	1
sanjaya ranasinghe	1
harriet gale	1
woodruff bryne	1
janet c easterday	3
james gilreath	2
stern tippo hickey christensen atchley beaman phipps crouse davis lauver park	1
carmel vanhoek and betty wargo	2
a will	1
s t levinson	1
eleanor scull	1
t j stelter	1
r w long o lakela r broome f almeda	1
henry a pilsbry	1
r r smith t myint b moore	2
r r smith t myint	6
o lakela	3
khai huynh	1
exploration party 1937	1
mark dietrich	1
l b trott	1
ben whitty	2
scott m livingston	2
gabrielle cerep	1
andrew j lawrence	1
marisa tishman	2
ruth murray	1
lorraine brunk	1
p j latham	1
lourdes rios	1
e w jagodzinski	1
jim bruton	1
kate l groninger	1
frances gwaltney	2
amy m jenkins and kimberly gulledge	1
lovett williams	1
toni calvino	1
eric hoeppner	2
sally lexow	1
paul w sykes jr 	1
saima zoffer	1
beverly spilker	1
h c murray	1
lloyd b dicke	1
asia barachina	2
jessica kenyon	1
stephen bridgland	1
violet brown	2
rani vajravelu	1
sheryl shinn	1
teddy bremekamp	1
eric englert	1
jerry w haveard	1
kevin hardin	1
h s conard	1
wm l mccart	1
r p wunderlin a arcuri b hansen	1
david r lindsey	1
david schuster	1
christian h miller with tammera m lee	1
dave flietner	1
carmel vanhoek betty wargo	2
bty 421 1961 b 1	1
robert ing	1
r r smith t myint r buchanan	1
dallas b townsend	1
j glisson	1
robert s pryor	1
dan smalley	1
c connery p klinger	1
brian r beckage	1
lee likins	1
ute taylor	1
delia m rollins	1
bruce hansen r p wunderlin george robinson	1
l d yargar	1
l d yerger	1
james wojciak	2
michelle alexander	1
sonya persaud	2
pravin nanayakkara	1
shirley bridgman	1
ned steel	1
douglas johnson	1
dylan m lanser	1
c jackson	1
kathleen munroe	1
poppleton	1
clifford shedd	1
deborah bouch	1
jonathan last	1
barbara bradshaw	1
alex griffel	1
lisa ed keppner	1
miranda davis	1
r a pursell	1
damon black	1
barbara p davis	1
megan weeks	1
roland taylor	1
john duncan	1
pattie alberson	1
clay scherer	1
cassidy r caldwell	1
richard campanale	1
michael pearson	1
ted m jones	1
james t oxford	1
j f calvert	1
n g fleck	1
l m baltzell	1
j r burkhalter j a edmisten	1
r and j daubenmire	1
mark scheller d grimm	1
deborah j moore	1
