FE_13770944.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13770958.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13770962.txt	James R. Burkhalter 	James R. Burkhalter.	James R. Burkhalter
FE_13770968.txt	James R. Burkhalter	James R. Burkahlter	James R. Burkhalter
FE_13770971.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13770976.txt	S. W. Leonard 	S. W. Leonard	S. W. Leonard
FE_13770984.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771022.txt	M. I. Cousens	M.I. Cousens	M. I. Cousens
FE_13771053.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771060.txt	James R. Burkhalter	James R. Burkhalter	James Burkhalter
FE_13771071.txt	A. Blythe 	A. Blythe, F. H. Booker 	A. Blyte, F. H. Booker
FE_13771081.txt	James R. Burkhalter 	James R. Burkhalter	James R. Burkhalter 
FE_13771111.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771184.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771242.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771301.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771306.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771373.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771400.txt	Frankie C. Johns	Frankie C. Johns	Frankie C. Johns
FE_13771425.txt	James R. Burkhalter	James R Burkhalter	James R. Burkhalter
FE_13771432.txt	burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771434.txt	James R. Burkhalter	James R. Burkhalter	James R. Burkhalter
FE_13771450.txt	R. and J. Daubemmire	R. and J. Daubenmire	R. & J. Daubenmire
